02-08-2023 15:20:23 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:24 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:25 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:25 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:26 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:27 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:27 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:28 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:29 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:29 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:30 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:30 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:31 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:32 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:32 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:33 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:34 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:34 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:35 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:35 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:36 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:36 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:37 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:37 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:38 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
